mol,Core,atag,R1,btag,R2,pic50,clearance_mouse,clearance_human,logd,pampa
CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B11,CC(=O)Nc1cccc([*:2])c1,6.4,medium (5.6-30.5),low (< 12),-0.12,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(F)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B12,Fc1cccc([*:2])c1,6,medium (5.6-30.5),low (< 12),0.49,low
COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B13,COc1ccccc1[*:2],Inactive,medium (5.6-30.5),low (< 12),0.24,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Cl,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B14,Clc1ccccc1[*:2],4.6,medium (5.6-30.5),low (< 12),0.8,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3F,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B15,Fc1ccccc1[*:2],5.7,medium (5.6-30.5),low (< 12),0.48,low
CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B16,CCOc1ccccc1[*:2],3.8,medium (5.6-30.5),low (< 12),0.6,low
OCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B17,OCc1ccc([*:2])cc1,6.4,medium (5.6-30.5),low (< 12),-0.15,low
CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B18,CCCc1ccc([*:2])cc1,7.6,medium (5.6-30.5),low (< 12),1.25,low
CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B19,CCc1ccc([*:2])cc1,7.5,medium (5.6-30.5),low (< 12),0.9,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OCc4ccccc4)c(F)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B20,Fc1cc([*:2])ccc1OCc1ccccc1,7,medium (5.6-30.5),low (< 12),1.49,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Oc4ccccc4,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B21,c1ccc(Oc2ccccc2[*:2])cc1,5.7,medium (5.6-30.5),low (< 12),1.31,low
Cc1cccc(C)c1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B22,Cc1cccc(C)c1[*:2],4.8,medium (5.6-30.5),low (< 12),0.85,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc4OCOc4c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B23,c1cc2c(cc1[*:2])OCO2,6.1,medium (5.6-30.5),low (< 12),0.19,low
COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B24,COc1ccc([*:2])c(OC)c1,5.2,medium (5.6-30.5),low (< 12),0.26,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OC(F)(F)F)cc3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B25,FC(F)(F)Oc1ccc([*:2])cc1,7.4,medium (5.6-30.5),low (< 12),1.17,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3c(F)c(F)c(F)c(F)c3F,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made,medium (5.6-30.5),low (< 12),0.9,med2high
CC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B27,CC(=O)c1ccc([*:2])cc1,7,medium (5.6-30.5),low (< 12),0.28,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(Cl)c3Cl,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B28,Clc1cccc([*:2])c1Cl,4.8,medium (5.6-30.5),low (< 12),1.32,med2high
OC(=O)/C=C/c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B29,O=C(O)/C=C/c1cccc([*:2])c1,4.2,medium (5.6-30.5),low (< 12),-0.32,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(/C=C/N(=O)=O)cc3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,7.3,good,poor,best,poor
COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B31,COc1c(C)cc([*:2])cc1C,5.3,medium (5.6-30.5),low (< 12),0.87,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4cccnc34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B32,c1cnc2c([*:2])cccc2c1,Inactive,medium (5.6-30.5),low (< 12),0.57,low
OCc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B33,OCc1cccc([*:2])c1,Assay Failed,medium (5.6-30.5),low (< 12),-0.13,low
COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)C(C)C,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B34,COc1ccc(C(C)C)cc1[*:2],4.4,medium (5.6-30.5),low (< 12),1.17,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5sc34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.2,medium (5.6-30.5),low (< 12),2.02,low
COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B36,COc1ccc([*:2])c(OC)c1OC,Not Made,medium (5.6-30.5),low (< 12),0.12,low
COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B37,COc1ccc(Cl)cc1[*:2],4,medium (5.6-30.5),low (< 12),0.75,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(C#N)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B38,N#Cc1cccc([*:2])c1,4.9,medium (5.6-30.5),low (< 12),0.05,low
CC(=O)c1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B39,CC(=O)c1ccccc1[*:2],Inactive,high (> 30.5),low (< 12),0.31,low
NCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B40,NCc1ccc([*:2])cc1,Not Made,low (< 5.6),low (< 12),0.11,low
COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B41,COC(=O)c1ccc([*:2])cc1,6.4,medium (5.6-30.5),low (< 12),0.36,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(OCc4ccccc4)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B42,c1ccc(COc2cccc([*:2])c2)cc1,4.9,high (> 30.5),low (< 12),1.46,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cc(F)c(F)c(F)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B43,Fc1cc([*:2])cc(F)c1F,5.9,medium (5.6-30.5),low (< 12),0.76,med2high
Cc1cc(F)ccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B44,Cc1cc(F)ccc1[*:2],4.9,medium (5.6-30.5),low (< 12),0.7,low
OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(F)c(C=O)c3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B45,O=Cc1cc([*:2])ccc1F,Not Made,medium (5.6-30.5),low (< 12),0.19,low
COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B46,COc1cccc([*:2])c1F,4.2,medium (5.6-30.5),low (< 12),0.45,low
CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B47,CCOC(=O)c1cccc([*:2])c1,5.4,medium (5.6-30.5),low (< 12),0.59,low
Cc1ccc(cc1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B48,Cc1ccc([*:2])cc1F,6.7,medium (5.6-30.5),low (< 12),0.71,low
COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B49,COc1c(F)cc(F)cc1[*:2],Assay Failed,medium (5.6-30.5),low (< 12),0.55,low
Cc1ccc(F)c(c1Cl)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1,B50,Cc1ccc(F)c([*:2])c1Cl,Not Made,medium (5.6-30.5),low (< 12),1.23,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B01,c1ccc([*:2])cc1,5.4,low (< 5.6),low (< 12),-0.24,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B02,Brc1ccc([*:2])cc1,Not Made,low (< 5.6),low (< 12),0.54,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)N(=O)=O)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,4.4,fair,fair,best,poor
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B04,Cc1ccc([*:2])cc1,6.6,low (< 5.6),low (< 12),0.12,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4oc23)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,4.8,high (> 30.5),low (< 12),1.21,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3Sc4ccccc4Sc23)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,5.4,medium (5.6-30.5),low (< 12),1.98,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(SC)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B07,CSc1ccc([*:2])cc1,7.1,low (< 5.6),low (< 12),0.33,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B08,FC(F)(F)c1cccc([*:2])c1,4.8,low (< 5.6),low (< 12),0.66,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B09,O=[N+]([O-])c1ccccc1[*:2],Not Made,poor,poor,best,poor
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(c2)N(=O)=O)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],5.1,fair,fair,best,poor
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(NC(=O)C)c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B11,CC(=O)Nc1cccc([*:2])c1,5.3,low (< 5.6),low (< 12),-0.28,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B12,Fc1cccc([*:2])c1,5.2,low (< 5.6),low (< 12),-0.11,med2high
COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B13,COc1ccccc1[*:2],3.9,low (< 5.6),low (< 12),-0.25,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B14,Clc1ccccc1[*:2],4.6,low (< 5.6),low (< 12),0.28,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2F)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B15,Fc1ccccc1[*:2],5.5,medium (5.6-30.5),low (< 12),-0.15,med2high
CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B16,CCOc1ccccc1[*:2],4.2,low (< 5.6),low (< 12),0.14,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CO)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B17,OCc1ccc([*:2])cc1,6,low (< 5.6),low (< 12),-0.39,low
CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B18,CCCc1ccc([*:2])cc1,7,low (< 5.6),low (< 12),0.8,med2high
CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B19,CCc1ccc([*:2])cc1,7,medium (5.6-30.5),low (< 12),0.34,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B20,Fc1cc([*:2])ccc1OCc1ccccc1,6.9,medium (5.6-30.5),low (< 12),1.07,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Oc3ccccc3)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B21,c1ccc(Oc2ccccc2[*:2])cc1,4.9,medium (5.6-30.5),low (< 12),1.02,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(C)cccc2C)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B22,Cc1cccc(C)c1[*:2],4.1,medium (5.6-30.5),low (< 12),0.38,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc3OCOc3c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B23,c1cc2c(cc1[*:2])OCO2,5.7,low (< 5.6),low (< 12),-0.21,low
COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B24,COc1ccc([*:2])c(OC)c1,4.1,low (< 5.6),low (< 12),-0.23,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC(F)(F)F)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B25,FC(F)(F)Oc1ccc([*:2])cc1,7,low (< 5.6),low (< 12),0.68,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)c(F)c(F)c(F)c2F)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made,medium (5.6-30.5),low (< 12),0.51,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)C)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B27,CC(=O)c1ccc([*:2])cc1,6.4,low (< 5.6),low (< 12),-0.19,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B28,Clc1cccc([*:2])c1Cl,Inactive,low (< 5.6),low (< 12),0.84,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(/C=C/C(=O)O)c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B29,O=C(O)/C=C/c1cccc([*:2])c1,4.3,low (< 5.6),low (< 12),-0.34,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,5.7,fair,poor,best,poor
COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B31,COc1c(C)cc([*:2])cc1C,5,low (< 5.6),low (< 12),0.39,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B32,c1cnc2c([*:2])cccc2c1,4.2,medium (5.6-30.5),low (< 12),0.09,low
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(CO)c2)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B33,OCc1cccc([*:2])c1,6.4,low (< 5.6),low (< 12),-0.35,low
COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O)C(C)C,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B34,COc1ccc(C(C)C)cc1[*:2],Inactive,medium (5.6-30.5),low (< 12),0.8,med2high
CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.1,high (> 30.5),low (< 12),1.59,med2high
COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B36,COc1ccc([*:2])c(OC)c1OC,Inactive,low (< 5.6),low (< 12),-0.2,low
COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1],B37,COc1ccc(Cl)cc1[*:2],Inactive,low (< 5.6),low (< 12),0.35,med2high
